Tracktitle,Artistname,Othername,ISNI code,IPI code,ISRC,album
Runaway baby,Bruno Mars,Peter Gene Hernandez,['0000000117226071'],"['00477487104', '00583145346', '00583145444']",a323da57-33ba-4dac-9ff9-48ef7bba6482,Doo-Wops & Hooligans
Look what you made me do,Taylor Swift,Nils Sjöberg,['0000000078519858'],"['00454808047', '00454808145', '00454808243', '00804356845']",366f6112-b1bf-4e3a-a9a5-eb1d6309a812,Look What You Made Me Do
You belong with me,Taylor Swift,Nils Sjöberg,['0000000078519858'],"['00454808047', '00454808145', '00454808243', '00804356845']",5f112a1b-1199-4cfb-84c8-35c165d2f314,Fearless: Platinum Edition
Never say never,Justin Bieber,not found,['0000000114791200'],"['00611935265', '00611935363']",dd1199ef-6606-48ce-a4b1-6e9a47ae546d,not found
Just the way you are,Bruno Mars,Peter Gene Hernandez,['0000000117226071'],"['00477487104', '00583145346', '00583145444']",93a89b89-3a02-4501-a55b-ca1d8f6575da,Club R&B 2
When I was your man,Bruno Mars,Peter Gene Hernandez,['0000000117226071'],"['00477487104', '00583145346', '00583145444']",5585469e-7608-49eb-b195-63653bedc373,Greatest Songs
The way you make me feel,Michael Jackson,not found,['000000011023081X'],"['00002961801', '00523553664']",d4a7cc87-5159-4822-80c9-f9dde7b0543f,not found
Beat it,Michael Jackson,not found,['000000011023081X'],"['00002961801', '00523553664']",3bd80b98-f2fe-47cf-9698-75a3e75623a9,not found
Earth song,Michael Jackson,not found,['000000011023081X'],"['00002961801', '00523553664']",ceed1b5f-b4aa-4acc-9ecd-2c9ede7cc2c2,not found
We belong together,Mariah carey,not found,['0000000114722280'],['00227453081'],d8ae0b90-fc41-422e-a0c1-d0851e46f3f5,not found
All I want for Christmas is you,Mariah carey,not found,['0000000114722280'],['00227453081'],9dde0289-529b-464f-ac1a-ffc148c63174,not found
We Found Love,Rihanna,not found,['0000000114766419'],"['00479976469', '00479976665', '00486793099']",a7748b59-0c8e-49d2-84b4-542ef7ea434c,not found
Go Crazy,Chris Brown,Christopher Maurice Brown,not found,['00484845803'],593c7489-e23e-4b6a-93ef-fbc3b5e9a1c0,Elysium (I Go Crazy)
Look at me now,Chris Brown,Christopher Maurice Brown,not found,['00484845803'],ef6251ac-a6bf-4509-8935-2445c5f4f79b,"Hits, Volume 31: April–May 2011"
In my Feelings,Drake,not found,['000000012032246X'],['00529397022'],dd6c0aa4-9b13-45e3-bac9-6f45f7c0607d,In My Feelings
Chicago Freestyle,Drake,not found,['000000012032246X'],['00529397022'],f0c745e6-042c-4838-9b7f-13d326e05cd6,Dark Lane Demo Tapes
All of the Lights,Kanye West,Kanye Omari West,"['0000000116557565', '0000000362939198']","['00335677734', '00451108296']",9bd9a717-0c3b-49d9-ba18-4e40749e4d52,All Of The Lights
Smells Like Teen Spirit,Nirvana,Nirvana,"['0000000123486830', '0000000123487390']",not found,6b0e3f94-c13b-4556-86da-224796eb9a8f,"Hollywood Rock Festival, Rio '93"
I Want To Hold Your Hand,The Beatles,not found,['0000000121707484'],not found,4ea594b9-61da-494a-b3e5-44198ed40db2,not found
You'll Never Walk Alone,Gerry and the Pacemakers,Gerry And The Peacemakers,['0000000122845416'],not found,71519c0e-3d27-4e61-b36e-1b770a3517ae,The Very Best Of
All You Need Is Love,The Beatles,not found,['0000000121707484'],not found,470260ab-c41a-4461-baa7-df6cc9641e1f,not found
Complicated,Avril Lavigne,Avril Ramona Lavigne,['0000000114946276'],['00424984337'],efd539c3-d31f-428d-8d18-3de8cacaf3b4,My World
When you are gone,Avril Lavigne,Avril Ramona Lavigne,['0000000114946276'],['00424984337'],45aefcfd-7502-43ea-a17c-ebe6bc2d92a7,Now That's What I Call Music! 47
Genie in a Bottle,Christina Aguilera,Christina Aquilera,['000000005518483X'],['00426316475'],fbe9ad8c-3a31-4b5a-9710-228b8c77907b,Nu Divas
Baby One more time,Britney spears,not found,['0000000109898265'],['00353662065'],df27dc63-1863-4a25-a6da-22905af446c7,not found
Toxic,Britney spears,not found,['0000000109898265'],['00353662065'],caedbf7d-4f49-4404-ba56-419a5bda6435,not found
Just give me a reason,P!nk,Pink,['000000012028175X'],['00342943558'],d4a892a0-a34a-47c0-bbd7-88bb0acff670,NRJ Hit Music Only! 2013
What about us,P!nk,Pink,['000000012028175X'],['00342943558'],aca92b32-f8ef-4d2f-ba75-d1de5a01b8c6,NRJ Smash Hits 2018
Beautiful Trauma,P!nk,Pink,['000000012028175X'],['00342943558'],30086ee6-01c1-466f-b9da-dacd4a8f0e75,Just the Hits 2018
Walk me home,P!nk,Pink,['000000012028175X'],['00342943558'],457b6f85-69fd-4d8b-9918-609527639f04,55 Hits rentrée 2019
Rain on me,Lady Gaga,not found,['0000000120254559'],"['00519338344', '00519338442', '00519338540']",d12f9759-678e-424a-b1f8-6329c73caf91,not found
Poker Face,Lady Gaga,not found,['0000000120254559'],"['00519338344', '00519338442', '00519338540']",26e20d55-86c9-41ab-8794-874e0f7daf3a,not found
Born this way,Lady Gaga,not found,['0000000120254559'],"['00519338344', '00519338442', '00519338540']",df2bdb66-8f0a-4574-9162-ccfa1de870f9,not found
Dark Horse,Katy perry,not found,['000000007371737X'],"['00292555933', '00515661558', '00515661656']",852f808a-e745-46da-b6cf-1ec8e824e4d5,not found
Hot n Cold,Katy perry,not found,['000000007371737X'],"['00292555933', '00515661558', '00515661656']",74aa368b-5ba3-4ff5-b5a1-bda22914b5fe,not found
Last Friday Night,Katy perry,not found,['000000007371737X'],"['00292555933', '00515661558', '00515661656']",8c060b42-9c4d-47fc-ad49-101e4c4e5cc7,not found
Thinking of You,Katy perry,not found,['000000007371737X'],"['00292555933', '00515661558', '00515661656']",2a482d07-da84-40c8-9541-69592e520444,not found
We dont talk anymore,Selena gomez,not found,['0000000078270714'],['00595330238'],a16e6dab-38d7-4ec6-b751-c1ebb5e62c22,not found
Let me love you,DJ Snake,William Sami Étienne Grigahcine,not found,['00600662780'],6f0369cd-fbca-41f4-bc6e-00edf7f6d4f2,Hit's Love 2018
Never say never,Justin Bieber,not found,['0000000114791200'],"['00611935265', '00611935363']",dd1199ef-6606-48ce-a4b1-6e9a47ae546d,not found
Welcome to Jamrock,Damian Marley,Jr. Gong,['0000000107840254'],['00345457353'],280161e6-2e1d-42bc-b8b6-3bee869aa5bb,Mix CD 3
Back to Black,Amy Winehouse,Amy Jade Winehouse,['0000000079920467'],['00461733556'],e74fdf17-0afa-41b8-a4c7-326b6cb12b6d,Quarantine: The Other Side of Us
Poker Face,Lady Gaga,not found,['0000000120254559'],"['00519338344', '00519338442', '00519338540']",26e20d55-86c9-41ab-8794-874e0f7daf3a,not found
Family Affair,Sly and the Family Stone,"Sly, The Family Stone",['0000000121831573'],not found,f11b0f7e-11a8-4344-8546-4e8acb017f5e,The Greatest Hits Of 1972
Drop it like its hot,Snoop Dogg,Snoop Doggy,['0000000120269646'],not found,79b52e14-0341-416e-bb41-6d546475ed73,Coca Cola Hits 2005
Heartbeats,The Knife,not found,not found,not found,25e4be39-206d-484e-aea3-0871dcf4fad2,not found
Try Again,Aaliyah,Aaliyah Dana Haughton,['0000000059585374'],not found,3485853e-e8cc-4d15-97cb-ba74f9f273d7,I Care 4 U
Dirt off your shoulder,Jay-Z,Shawn Corey Carter,"['0000000118335528', '0000000368615389']","['00240089393', '00240089491', '00240089589']",9d4c57fe-ba72-40d5-8bf0-c9c85825bee0,The Black Album
Get the party started,P!nk,Pink,['000000012028175X'],['00342943558'],9f8d6ce7-6fd3-4f9c-a9f5-80b9805ef88e,Live From Wembley Arena
Hung up,Madonna,not found,['000000010782262X'],"['00125053706', '00128246872', '00211854787']",31a6b752-291c-456f-ade5-f4b85545e6df,not found
Use somebody,Kings Of Leon,not found,['0000000122901684'],not found,8c0e7d66-7b55-4cf8-9597-6d8dd5472468,2Cellos
I Bet you look good on the dance floor,Arctic Monkeys,The Arctic Monkeys,['000000012270850X'],not found,ec158537-8def-4dec-924f-94d976a0fad8,Isles of Wonder: Music for the Opening Ceremony of the London 2012 Olympic Games
Viva La vida,Coldplay,Cold Play,['000000011551394X'],not found,5ce88d3e-fff7-4da9-a02e-8399b9241d30,Big Hits - 2009
Vertigo,U2,U2 Kiwi,['0000000121505903'],not found,cf4ce2dd-a10e-45e9-81c1-259720f34d87,Vertigo in Mexico City
Hard to explain,The Strokes,not found,['0000000115477790'],not found,46bd3ddd-d910-4fa1-8eb5-9d6053f3794b,not found
The scientist,Friedel Weinert,not found,['0000000121220131'],['00626107862'],cb2e6818-0ad0-451c-9732-811c9b825471,Fjord
