0,Track Title,Artist Name,Album Name,Writer(s)/ Composer(s),Othername,ISNI code,IPI code,ISRC,SESAC Work ID,SESAC Publisher,ASCAP Work ID,ASCAP Publisher,ASCAP Publishers' IPI,BMI Work ID,BMI Publisher,GMR Work ID,GMR Publisher,GMR Publishers' IPI
1,Runaway baby,Bruno Mars,Runaway Baby,Bruno Mars,Peter Gene Hernandez,['0000000117226071'],"['00477487104', '00583145346', '00583145444']",283c4b1b-d831-4e5f-a0f8-26d0c34f299f,984901,BEANIE MALEANIE SONGS,881899134,BMG FIREFLY,725496126,12234522,FULTON AVENUE MUSIC,100045100,MARS FORCE MUSIC,583434436
2,Look what you made me do,Taylor Swift,,,Nils Sjöberg,['0000000078519858'],"['00454808047', '00454808145', '00454808243', '00804356845']",93bba658-822f-4eb7-a7dc-508f8880538d,s,WARNER/CHAPPELL MUSIC PUBLISHING LIMITED,420576256,UNIVERSAL MUSIC- MGB SONGS,538724724,25215544,DUCKY DONATH MUSIC,NO RESULT,,
3,You belong with me,Taylor Swift,,,Nils Sjöberg,['0000000078519858'],"['00454808047', '00454808145', '00454808243', '00804356845']",ee8ab415-15bc-4ed3-abb5-55da3eb13fec,918273,MIGHTY NICE MUSIC,550151647,WC MUSIC CORP,53026414,9611045,ORBISON MUSIC LLC,NO RESULT,,
4,Never say never,Justin Bieber,,,not found,['0000000114791200'],"['00611935265', '00611935363']",4f0a664e-480c-4c4f-ab40-69dee8c6b15c,163632,CLAYTON-NORMAN PUBL CO,530957878,HUMASSIVE MUSIC,338710658,13703742,SHIRA LEE LAWRENCE RICK MUSIC,100061956,UNIVERSAL MUSIC WORKS,832425062
5,Just the way you are,Bruno Mars,,,Peter Gene Hernandez,['0000000117226071'],"['00477487104', '00583145346', '00583145444']",ce3aa276-464d-419c-9bf0-169550ae619b,82896,LORNE MATTHEWS FAMILY PROD,400037367,EMI ROBBINS CATALOG INC,128632966,14414169,DOWNTOWN DMP SONGS,100044972,MARS FORCE MUSIC,583434436
6,When I was your man,Bruno Mars,,,Peter Gene Hernandez,['0000000117226071'],"['00477487104', '00583145346', '00583145444']",5b944ec8-9c49-4d44-a0f2-b7056fd682ad,Not found,,530326380,KEVIN SAVIGAR MUSIC,126832282,14992124,DOWNTOWN DMP SONGS,100045161,MARS FORCE MUSIC,583434436
7,The way you make me feel,Michael Jackson,,,not found,['000000011023081X'],"['00002961801', '00523553664']",ea463125-41a0-4c6f-9883-c894c8f7b5e5,645520,GAS GRASS OR ASS PUBLISHING,501005398,TAFARI MUSIC INC,338650451,6397212,BMG PLATINUM SONGS US,100061609,BADAMS MUSIC LIMITED,NO RESULT
8,Beat it,Michael Jackson,,,not found,['000000011023081X'],"['00002961801', '00523553664']",08ff9606-41c4-4281-ba9c-1b1b5e0b5471,6989,DAWN TREADER MUSIC,320026477,BOURNE CO,3915803,94884,REENY RHYTHMS INC,100070618,WARNER-GRANDVIEW MUSIC,NO RESULT
9,Earth song,Michael Jackson,,,not found,['000000011023081X'],"['00002961801', '00523553664']",998a69ff-411e-465e-89f1-275610785142,35888,CONVENTION PRESS,350078249,UNIVERSAL MUSIC CORPORATION,31312147,2059527,MIJAC MUSIC,NO RESULT,NO RESULT,NO RESULT
10,We belong together,Mariah carey,,,not found,['0000000114722280'],['00227453081'],3833b59c-931e-4c16-b541-0209a95c8b61,601618,CARDRAYGEE MUSIC PUBLISHING,530019024,CATSOS MUSIC,74209386,7558879,ABKCO MUSIC INC,100087263,FOX GLOBAL MUSIC INC,801538365
